,Body (HTML),Variant Inventory Qty,Variant Grams,Image Src,Status,description,CategoryName,Variant Compare At Price,Variant Price,Option1 Value,Custom Product Type,First,Second,Third,Fourth,Fifth,Title,added_by,Vendor,Image Alt Text,SEO Title,SEO Description,Published,Variant Inventory Tracker,Tags,Standard Product Type,,Handle
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/65913dc5e3edc1aa0eefff0356dfdc30.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,M,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49312,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49312
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/1a5c44e52e701254d89a8079ce98fd7a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,L,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49313,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49313
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/1a5c44e52e701254d89a8079ce98fd7a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,XL,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49314,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49314
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/1a5c44e52e701254d89a8079ce98fd7a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,XXL,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49315,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49315
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/1a5c44e52e701254d89a8079ce98fd7a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,M,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49316,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49316
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/71d9ecad7a4836a781387ec7480acf9a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,L,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49317,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49317
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/71d9ecad7a4836a781387ec7480acf9a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,XL,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49318,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49318
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/71d9ecad7a4836a781387ec7480acf9a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,XXL,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49319,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49319
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/71d9ecad7a4836a781387ec7480acf9a.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,M,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49320,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49320
